,Name,Party,District
0,Argall David G.,R,29
1,Baker Lisa ,R,20
2,Bartolotta Camera ,R,46
3,Boscola Lisa M.,D,18
4,Brooks Michele ,R,50
5,Brown Rosemary M.,R,40
6,Cappelletti Amanda M.,D,17
7,Coleman Jarrett ,R,16
8,Collett Maria ,D,12
9,Comitta Carolyn T.,D,19
10,Costa Jay ,D,43
11,Culver Lynda Schlegel ,R,27
12,Dush Cris ,R,25
13,Farry Frank A.,R,6
14,Flynn Marty ,D,22
15,Fontana Wayne D.,D,42
16,Gebhard Chris ,R,48
17,Haywood Art L,D,4
18,Hughes Vincent J.,D,7
19,Hutchinson Scott ,R,21
20,Kane John I.,D,9
21,Kearney Timothy P.,D,26
22,Keefer Dawn W.,R,31
23,Kim Patty ,D,15
24,Langerholc Wayne ,R,35
25,Laughlin Daniel ,R,49
26,Martin Scott ,R,13
27,Mastriano Doug ,R,33
28,Miller Nick ,D,14
29,Muth Katie J.,D,44
30,Pennycuick Tracy ,R,24
31,Phillips-Hill Kristin ,R,28
32,Picozzi Joe ,R,5
33,Pisciottano Nick ,D,45
34,Pittman Joe ,R,41
35,Robinson Devlin J.,R,37
36,Rothman Greg ,R,34
37,Santarsiero Steven J.,D,10
38,Saval Nikil ,D,1
39,Schwank Judith L.,D,11
40,Stefano Patrick J.,R,32
41,Street Sharif ,D,3
42,Tartaglione Christine M.,D,2
43,Vogel Elder A.,R,47
44,Ward Judy ,R,30
45,Ward Kim L.,R,39
46,Williams Anthony H.,D,8
47,Williams Lindsey MARIE,D,38
48,Yaw Gene ,R,23
